"No.","Time","Source","Destination","Protocol","Length","Info"
"175043","79.735528894","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"175237","79.789067949","157.240.195.56","10.9.2.132","TLSv1.2","126","Application Data"
"175238","79.789067979","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"182284","81.747409206","10.9.2.132","157.240.195.56","TLSv1.2","271","Application Data"
"182846","81.907332469","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"195782","85.625140141","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=15369 Ack=51004 Win=2038 Len=1368 TSval=2428250911 TSecr=1553782720 [TCP segment of a reassembled PDU]"
"195785","85.625861334","157.240.195.56","10.9.2.132","TLSv1.2","211","Application Data"
"195786","85.625861394","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=16882 Ack=51004 Win=2038 Len=1368 TSval=2428250911 TSecr=1553782720 [TCP segment of a reassembled PDU]"
"195792","85.626722276","157.240.195.56","10.9.2.132","TLSv1.2","1293","Application Data"
"195797","85.629424933","157.240.195.56","10.9.2.132","TCP","2802","443  >  41722 [PSH, ACK] Seq=19477 Ack=51004 Win=2038 Len=2736 TSval=2428250912 TSecr=1553782720 [TCP segment of a reassembled PDU]"
"195798","85.629424978","157.240.195.56","10.9.2.132","TLSv1.2","1416","Application Data"
"195805","85.630689919","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=23563 Ack=51004 Win=2038 Len=1368 TSval=2428250913 TSecr=1553782720 [TCP segment of a reassembled PDU]"
"195808","85.630780771","157.240.195.56","10.9.2.132","TLSv1.2","365","Application Data, Application Data"
"196096","85.710256729","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"196665","85.866209687","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"197325","86.049890305","157.240.195.56","10.9.2.132","TLSv1.2","1395","Application Data"
"197480","86.093235306","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"197487","86.095051373","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"198127","86.271756074","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"198583","86.399197094","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=26757 Ack=51300 Win=2038 Len=1368 TSval=2428251685 TSecr=1553787085 [TCP segment of a reassembled PDU]"
"198587","86.400189760","157.240.195.56","10.9.2.132","TLSv1.2","641","Application Data, Application Data"
"198915","86.491651950","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"198922","86.493362543","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"199378","86.619881288","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"199538","86.667924079","157.240.195.56","10.9.2.132","TLSv1.2","1579","Application Data"
"199540","86.667924156","157.240.195.56","10.9.2.132","TLSv1.2","2661","Application Data"
"199557","86.672613430","157.240.195.56","10.9.2.132","TLSv1.2","1881","Application Data, Application Data"
"199699","86.714768034","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"199720","86.721306222","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"200384","86.925393438","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"200557","86.982770202","157.240.195.56","10.9.2.132","TLSv1.2","2473","Application Data, Application Data"
"200794","87.058616050","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"200820","87.067527608","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"201358","87.239002159","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"201386","87.247223874","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=37327 Ack=51891 Win=2038 Len=1368 TSval=2428252523 TSecr=1553787880 [TCP segment of a reassembled PDU]"
"201388","87.247943215","157.240.195.56","10.9.2.132","TLSv1.2","433","Application Data, Application Data"
"202383","87.555534489","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"202399","87.557200829","10.9.2.132","157.240.195.56","TLSv1.2","165","Application Data"
"202627","87.630853776","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"205883","88.637910481","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"210916","90.133466816","157.240.195.56","10.9.2.132","TLSv1.2","1579","Application Data"
"210917","90.133466899","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=40674 Ack=52186 Win=2038 Len=1368 TSval=2428255419 TSecr=1553789451 [TCP segment of a reassembled PDU]"
"210920","90.134129201","157.240.195.56","10.9.2.132","TLSv1.2","1434","Application Data"
"210925","90.135249302","157.240.195.56","10.9.2.132","TLSv1.2","695","Application Data"
"211132","90.192864793","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"212049","90.449803939","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=44039 Ack=52282 Win=2038 Len=1368 TSval=2428255735 TSecr=1553791006 [TCP segment of a reassembled PDU]"
"212051","90.450486500","157.240.195.56","10.9.2.132","TLSv1.2","211","Application Data"
"212052","90.450486564","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=45552 Ack=52282 Win=2038 Len=1368 TSval=2428255736 TSecr=1553791006 [TCP segment of a reassembled PDU]"
"212055","90.450623899","157.240.195.56","10.9.2.132","TLSv1.2","1293","Application Data"
"212072","90.455169480","157.240.195.56","10.9.2.132","TLSv1.2","1754","Application Data, Application Data"
"212247","90.503423219","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"213211","90.774392737","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=49835 Ack=52378 Win=2038 Len=1368 TSval=2428256058 TSecr=1553791316 [TCP segment of a reassembled PDU]"
"213213","90.775036333","157.240.195.56","10.9.2.132","TLSv1.2","211","Application Data"
"213218","90.775781460","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=51348 Ack=52378 Win=2038 Len=1368 TSval=2428256059 TSecr=1553791316 [TCP segment of a reassembled PDU]"
"213220","90.775899516","157.240.195.56","10.9.2.132","TLSv1.2","1293","Application Data"
"213225","90.777501225","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=53943 Ack=52378 Win=2038 Len=1368 TSval=2428256060 TSecr=1553791316 [TCP segment of a reassembled PDU]"
"213227","90.777637397","157.240.195.56","10.9.2.132","TLSv1.2","1434","Application Data"
"213230","90.778491156","157.240.195.56","10.9.2.132","TLSv1.2","912","Application Data, Application Data"
"213342","90.809929950","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
