"No.","Time","Source","Destination","Protocol","Length","Info"
"70","76.500888389","157.240.196.60","10.9.1.23","TLSv1.3","269","Application Data"
"71","78.541607741","157.240.196.60","10.9.1.23","TLSv1.2","416","Application Data"
"72","78.551253564","10.9.1.23","157.240.196.60","TLSv1.2","164","Application Data"
"73","78.553130843","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"74","78.553646486","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"75","96.247973675","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"76","96.462365991","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"77","114.064185814","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"78","114.279106944","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"79","120.948194428","157.240.196.60","10.9.1.23","TLSv1.2","220","Application Data"
"80","120.953605789","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"81","123.191659659","157.240.196.60","10.9.1.23","TLSv1.2","2057","Application Data, Application Data"
"82","123.237468295","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"83","130.320003757","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"84","130.561313762","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"85","134.043610620","157.240.196.60","10.9.1.23","TLSv1.2","154","Application Data"
"86","134.047764048","10.9.1.23","157.240.196.60","TLSv1.2","138","Application Data"
"87","137.524737703","157.240.196.60","10.9.1.23","TLSv1.2","318","Application Data"
"88","137.561820778","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"89","143.122668917","10.9.1.23","157.240.196.60","TLSv1.2","129","Application Data"
"90","145.101891919","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"91","145.399703661","10.9.1.23","157.240.196.60","TLSv1.2","174","Application Data"
"92","145.418226902","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"93","145.566619280","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"94","145.583820204","157.240.196.60","10.9.1.23","TLSv1.2","1073","Application Data"
"95","148.072121109","157.240.196.60","10.9.1.23","TLSv1.2","386","Application Data"
"96","148.112029344","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"97","150.529755268","157.240.196.60","10.9.1.23","TLSv1.2","146","Application Data"
"98","154.114515707","157.240.196.60","10.9.1.23","TLSv1.2","322","Application Data"
"99","154.149234533","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"100","158.205696902","157.240.196.60","10.9.1.23","TLSv1.2","204","Application Data"
"101","158.205697227","157.240.196.60","10.9.1.23","TLSv1.2","1587","Application Data"
"102","158.232054993","10.9.1.23","157.240.196.60","TLSv1.2","140","Application Data"
"103","158.244633820","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"104","158.524135397","157.240.196.60","10.9.1.23","TLSv1.2","178","Application Data"
"105","158.526880132","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"106","158.828875251","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"107","158.828875310","157.240.196.60","10.9.1.23","TLSv1.2","2661","Application Data"
"108","158.828875377","157.240.196.60","10.9.1.23","TLSv1.2","2802","Application Data"
"109","158.828994192","157.240.196.60","10.9.1.23","TLSv1.2","450","Application Data"
"110","158.828994244","157.240.196.60","10.9.1.23","TLSv1.2","351","Application Data"
"111","158.868705285","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"112","159.132597628","157.240.196.60","10.9.1.23","TLSv1.2","1705","Application Data, Application Data"
"113","159.170602961","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"114","159.439413860","157.240.196.60","10.9.1.23","TLSv1.2","1459","Application Data"
"115","159.476529028","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"116","159.946632315","157.240.196.60","10.9.1.23","TLSv1.2","2137","Application Data, Application Data"
"117","159.985786566","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"118","160.361981264","157.240.196.60","10.9.1.23","TLSv1.2","178","Application Data"
"119","160.364516132","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"120","162.612390149","157.240.196.60","10.9.1.23","TLSv1.2","464","Application Data"
"121","162.621747244","10.9.1.23","157.240.196.60","TLSv1.2","141","Application Data"
"122","162.621990965","10.9.1.23","157.240.196.60","TLSv1.2","216","Application Data, Application Data"
"123","168.831932480","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"124","169.062975167","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"125","176.927380189","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"126","176.957466585","10.9.1.23","157.240.196.60","TLSv1.2","140","Application Data"
"127","189.263957611","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"128","189.442499697","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"129","201.733227178","157.240.196.60","10.9.1.23","TLSv1.2","1539","Application Data"
"130","201.779625682","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"131","202.546521047","157.240.196.60","10.9.1.23","TLSv1.2","1523","Application Data"
"132","202.587269786","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"133","203.675245978","157.240.196.60","10.9.1.23","TLSv1.2","220","Application Data"
"134","203.680466031","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"135","203.977521216","157.240.196.60","10.9.1.23","TLSv1.2","1737","Application Data, Application Data"
"136","204.018762991","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"137","204.496137539","157.240.196.60","10.9.1.23","TLSv1.2","154","Application Data"
"138","204.500278678","10.9.1.23","157.240.196.60","TLSv1.2","138","Application Data"
"139","210.755206714","157.240.196.60","10.9.1.23","TLSv1.2","1801","Application Data, Application Data"
"140","210.831263414","10.9.1.23","157.240.196.60","TLSv1.2","227","Application Data"
"141","210.930050307","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"142","210.981597612","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"143","211.215319450","157.240.196.60","10.9.1.23","TCP","1434","443  >  47216 [ACK] Seq=55335 Ack=14734 Win=2038 Len=1368 TSval=3541615959 TSecr=3300058014 [TCP segment of a reassembled PDU]"
"144","211.216418543","157.240.196.60","10.9.1.23","TLSv1.2","187","Application Data"
"145","211.302376370","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"146","213.731875498","10.9.1.23","157.240.196.60","TLSv1.2","203","Application Data"
"147","213.915838391","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"148","213.924035018","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"149","213.927976677","10.9.1.23","157.240.196.60","TLSv1.2","140","Application Data"
"150","222.927133438","157.240.196.60","10.9.1.23","TLSv1.2","204","Application Data"
"151","222.947452393","10.9.1.23","157.240.196.60","TLSv1.2","140","Application Data"
"152","239.224085421","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"153","239.413571409","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"154","250.475567882","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"155","250.475567986","157.240.196.60","10.9.1.23","TLSv1.2","1830","Application Data, Application Data"
"156","250.522811485","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"157","253.039288220","157.240.196.60","10.9.1.23","TLSv1.2","1579","Application Data"
"158","253.039288422","157.240.196.60","10.9.1.23","TLSv1.2","1622","Application Data, Application Data"
"159","253.082746098","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"160","255.215900160","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"161","255.491200954","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"162","261.327604480","157.240.196.60","10.9.1.23","TLSv1.2","207","Application Data"
"163","261.345017348","10.9.1.23","157.240.196.60","TLSv1.2","166","Application Data"
"164","263.300475777","10.9.1.23","157.240.196.60","TLSv1.2","129","Application Data"
"165","263.785626986","157.240.196.60","10.9.1.23","TLSv1.2","1785","Application Data, Application Data"
"166","263.838597942","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"167","264.195372695","157.240.196.60","10.9.1.23","TLSv1.2","1833","Application Data, Application Data"
"168","264.604100750","157.240.196.60","10.9.1.23","TLSv1.2","1331","Application Data"
"169","264.913061473","157.240.196.60","10.9.1.23","TLSv1.2","1555","Application Data"
"170","266.488912269","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"171","266.530819599","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
"172","266.587160370","10.9.1.23","157.240.196.60","TLSv1.2","165","Application Data"
