"No.","Time","Source","Destination","Protocol","Length","Info"
"20512","160.626488397","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"20514","160.647557649","10.9.2.132","157.240.195.56","TLSv1.2","176","Application Data"
"20567","160.797001643","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"20569","160.797661528","157.240.195.56","10.9.2.132","TLSv1.2","180","Application Data"
"20571","160.798631153","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"20713","161.337840124","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"21127","165.691610491","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"21259","166.757291268","10.9.2.132","157.240.195.56","TLSv1.2","800","Application Data"
"21281","166.911734827","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"21301","167.134344866","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"21303","167.137349614","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"21307","167.183290828","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"21309","167.185614192","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"21311","167.186085281","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"21319","167.201196240","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"21348","167.504772333","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"21349","167.507455329","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"21427","168.084739055","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"21428","168.087132811","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"21543","168.864408754","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"22018","171.262188636","157.240.195.56","10.9.2.132","TLSv1.2","181","Application Data"
"22019","171.277130316","10.9.2.132","157.240.195.56","TLSv1.2","142","Application Data"
"23109","178.867280453","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"24247","186.347468234","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"24268","186.498791966","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"24432","188.181692140","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"24547","188.906637522","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"24559","189.058616494","10.9.2.132","157.240.195.56","TLSv1.2","800","Application Data"
"24569","189.211535183","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"24578","189.424084585","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"24580","189.424686024","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"24582","189.425504721","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"24583","189.427217197","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"24590","189.471800233","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"24591","189.472853500","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"24592","189.490814656","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"24593","189.492526353","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"24774","191.042615324","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"24775","191.043803934","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"25465","195.835316666","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"25548","196.469184235","10.9.2.132","157.240.195.56","TLSv1.2","800","Application Data"
"25560","196.679921055","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"25581","196.891055420","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"25584","196.893738410","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"25585","196.906481254","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"25586","196.914159671","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"25590","196.948019209","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"25591","196.950449628","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"25595","196.992318614","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"25596","196.994725433","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"25652","197.598877285","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"25653","197.600553754","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"27977","212.292110251","157.240.195.56","10.9.2.132","TLSv1.2","789","Application Data"
"27980","212.331042371","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"28007","212.535601642","157.240.195.56","10.9.2.132","TLSv1.2","869","Application Data"
"28047","212.639650623","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"28090","212.688338438","157.240.195.56","10.9.2.132","TLSv1.2","188","Application Data"
"28155","212.715904573","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"28264","212.773770755","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"28484","212.848003133","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"29101","213.069465058","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"29158","213.090942870","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"29350","213.159997832","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"29587","213.241676194","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"29618","213.251953010","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"29852","213.337373966","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"29991","213.384850377","10.9.2.132","157.240.195.56","TLSv1.2","131","Application Data"
"30292","213.494945637","157.240.195.56","10.9.2.132","TLSv1.2","869","Application Data"
"30513","213.571284348","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"30905","213.712445754","157.240.195.56","10.9.2.132","TLSv1.2","869","Application Data"
"31139","213.795562876","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"32421","219.859933671","157.240.195.56","10.9.2.132","TLSv1.2","254","Application Data"
"32423","219.888592637","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"32564","221.150539014","157.240.195.56","10.9.2.132","TLSv1.2","156","Application Data"
"32565","221.154415433","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"33452","227.634581197","157.240.195.56","10.9.2.132","TLSv1.2","181","Application Data"
"33455","227.659992795","10.9.2.132","157.240.195.56","TLSv1.2","142","Application Data"
"33640","228.812372898","157.240.195.56","10.9.2.132","TLSv1.2","805","Application Data"
"33652","228.915428286","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"34979","241.608592368","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"34988","241.715861553","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"35009","241.829098145","157.240.195.56","10.9.2.132","TLSv1.2","885","Application Data"
"35028","241.945675777","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"35069","242.359985195","10.9.2.132","157.240.195.56","TLSv1.2","137","Application Data"
"35082","242.508810911","157.240.195.56","10.9.2.132","TLSv1.2","139","Application Data"
"36576","255.678214640","157.240.195.56","10.9.2.132","TLSv1.2","387","Application Data"
"36578","255.681707696","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"36600","255.841788381","157.240.195.56","10.9.2.132","TLSv1.2","868","Application Data"
"36631","255.986059108","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"36636","256.034304408","157.240.195.56","10.9.2.132","TLSv1.2","169","Application Data"
"36638","256.043330480","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"36660","256.078189240","157.240.195.56","10.9.2.132","TLSv1.2","868","Application Data"
"36661","256.078189359","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"36663","256.079147006","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"36664","256.081299307","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"36665","256.086181978","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"36732","256.215292484","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"36745","256.264512206","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"36749","256.286276325","157.240.195.56","10.9.2.132","TLSv1.2","868","Application Data"
"36751","256.286995831","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"36756","256.295187781","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"36761","256.308354679","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"36769","256.313124247","157.240.195.56","10.9.2.132","TLSv1.2","169","Application Data"
"36773","256.320026124","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"36896","256.447974378","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"36906","256.478064721","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"36909","256.488805564","157.240.195.56","10.9.2.132","TLSv1.2","169","Application Data"
"36911","256.491301442","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"36912","256.502244427","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"37010","256.542458946","157.240.195.56","10.9.2.132","TLSv1.2","868","Application Data"
"37078","256.635605804","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"37081","256.661225699","10.9.2.132","157.240.195.56","TLSv1.2","167","Application Data"
"37083","256.667407001","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37110","256.736777871","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"37111","256.738188113","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37114","256.774943684","157.240.195.56","10.9.2.132","TLSv1.2","169","Application Data"
"37115","256.776278389","10.9.2.132","157.240.195.56","TLSv1.2","168","Application Data"
"37116","256.785355228","157.240.195.56","10.9.2.132","TLSv1.2","168","Application Data"
"37117","256.789019008","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37118","256.790145147","157.240.195.56","10.9.2.132","TLSv1.2","167","Application Data"
"37119","256.793663405","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37146","256.831844287","157.240.195.56","10.9.2.132","TLSv1.2","167","Application Data"
"37147","256.833062846","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37148","256.847583492","157.240.195.56","10.9.2.132","TLSv1.2","167","Application Data"
"37149","256.848588841","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37318","257.937141645","157.240.195.56","10.9.2.132","TLSv1.2","167","Application Data"
"37319","257.938285134","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"37414","259.200184638","10.9.2.132","157.240.195.56","TLSv1.2","131","Application Data"
"38507","267.436879570","157.240.195.56","10.9.2.132","TLSv1.2","147","Application Data"
"38796","269.337468476","157.240.195.56","10.9.2.132","TLSv1.2","181","Application Data"
"38803","269.360435849","10.9.2.132","157.240.195.56","TLSv1.2","142","Application Data"
"38860","269.678893791","10.9.2.132","157.240.195.56","TLSv1.2","254","Application Data"
"38861","269.678958786","10.9.2.132","157.240.195.56","TLSv1.2","440","Application Data, Application Data"
"38862","269.679200643","10.9.2.132","157.240.195.56","TLSv1.2","1370","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"38891","269.833704384","157.240.195.56","10.9.2.132","TLSv1.2","314","Application Data"
"38915","269.884878411","157.240.195.56","10.9.2.132","TLSv1.2","313","Application Data"
"38922","269.895226906","157.240.195.56","10.9.2.132","TLSv1.2","305","Application Data"
"38924","269.901228207","157.240.195.56","10.9.2.132","TLSv1.2","288","Application Data"
"38929","269.915521085","157.240.195.56","10.9.2.132","TLSv1.2","335","Application Data"
"38939","269.922321404","157.240.195.56","10.9.2.132","TLSv1.2","288","Application Data"
"38942","269.928829256","157.240.195.56","10.9.2.132","TLSv1.2","323","Application Data"
"38951","269.936659158","157.240.195.56","10.9.2.132","TLSv1.2","291","Application Data"
"38955","269.945663231","157.240.195.56","10.9.2.132","TLSv1.2","317","Application Data"
"38958","269.951021114","157.240.195.56","10.9.2.132","TLSv1.2","316","Application Data"
"39306","271.861299532","10.9.2.132","157.240.195.56","TLSv1.2","832","Application Data"
"39340","272.024128795","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"39365","272.196315264","10.9.2.132","157.240.195.56","TLSv1.2","832","Application Data"
"39373","272.264756211","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39380","272.326645274","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"39382","272.326917752","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39389","272.354245243","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
